SMILES,mol_id,qed,sim,4dle
CCOC(=O)NC(C=Cc1ccccc1)NC(=O)OCC,0,0.789843734,1,-8.1
CCOC(=O)NC(C=Cc1ccccc1)NC(=O)OC(C)C,0,0.792286482,0.846153846,-8.3
CCOC(=O)NC1C(C=Cc2ccccc2)NC(=O)OC1C,0,0.894672515,0.428571429,-8.6
CCOC(=O)NC1C=C(C=Cc2ccccc2)NC(=O)SC1,0,0.894683292,0.421052632,-9.6
CCOC(=O)NC1C=C(C=Cc2ccccc2)NC(=O)NC1,0,0.795665101,0.428571429,-9.8
CCOC(=O)N1C=C(C=Cc2ccccc2)NC(=O)NC1(F)F,0,0.840405791,0.375,-9.9
CCOC(=O)N1C=C(C=Cc2ccccc2)NC(=O)NC1F,0,0.843179774,0.368421053,-9.6
CCOC(=O)N1CC(C=Cc2ccccc2)NC(=O)NC1F,0,0.840108369,0.362068966,-8.9
CCOC(=O)N1CC(C=Cc2ccccc2)NC1=NC(=O)O,0,0.892570535,0.368421053,-9.1
CCOC(=O)NC1CCCN1C=Cc1cccc(NC(=O)O)c1,0,0.776026617,0.360655738,-9.1
CCOC(=O)NC1CCCC1C=Cc1cccc(NC(=O)O)c1,0,0.772098413,0.366666667,-9.3
CC(C)OC(=O)N1CCCC1C=Cc1cccc(NC(=O)O)c1,0,0.884762689,0.261538462,-10.1
CC(C)OC(=O)NC1CCCN1C=Cc1cccc(C=O)c1,0,0.849414371,0.246153846,-8.7
CC(C)OC(=NCC1CC=C(SC(F)F)C=C1)NC(=O)O,0,0.601057698,0.173913043,-9.4
CC(C)OC(=O)NCCC1CC=C(NC(=O)O)C=CC1F,0,0.727914072,0.196969697,-8.9
CC(C)OC(=O)NCCN1CC=C(NC(=O)O)C=CC1F,0,0.66843743,0.196969697,-8.2
CC(C)OC(=O)NC1CCCN1C=Cc1cccc(O)c1,0,0.89475061,0.25,-8.4
CC(C)OC(=O)NCCN1CC=C(NC(F)F)C=CC1O,0,0.638718475,0.15942029,-8.1
CCCC(C=Cc1cccc(O)c1)NC(=O)OC(C)F,0,0.836976942,0.375,-8.7
COCC(C)NC(=O)C1CC=CCN1C=CC=C(F)F,0,0.600099715,0.161764706,-7.5
COCC(C)NC(=O)C1CC=CCN1C=CC=C(O)F,0,0.44216321,0.176470588,-7
COCC(C)NC(=O)C1CC=CC#CC=C1OC(F)F,0,0.757537352,0.161764706,-7.8
Cc1n[nH]c(=O)n1N=Cc1ccccc1,1,0.730631823,1,-8.6
Cc1n[nH]c(=O)n1N=CC=Cc1ccccc1,1,0.807517893,0.7,-9.1
Cc1n[nH]c(=O)n1NCC=Cc1ccccc1,1,0.827448853,0.468085106,-9
Cc1n[nH]c(=O)n1C(C=O)C=Cc1ccccc1,1,0.823657435,0.468085106,-9
Cc1n[nH]c(=O)n1CC(N)C=Cc1ccccc1,1,0.839261607,0.448979592,-8.9
Cc1n[nH]c(=O)n1CC=Cc1ccc(F)cc1,1,0.877311714,0.36,-9.7
Cc1n[nH]c(=O)n1CC=Cc1cccc(F)c1,1,0.877311714,0.384615385,-9.6
Cc1n[nH]c(=O)n1C(C)C=Cc1cccc(F)c1,1,0.904283879,0.377358491,-9.4
Cc1n[nH]c(=O)n1C(C)Oc1cccc(F)c1C=CCl,1,0.943761304,0.3,-8.1
Cc1n[nH]c(=O)n1C(C)Oc1cccc(F)c1C=CCO,1,0.87761137,0.285714286,-8.1
CC=CN1C(=O)OCC1Nc1cccc(F)c1C=C(C)C,1,0.911831094,0.128571429,-8.9
CN=C(N)C(CO)Oc1cccc(F)c1C=CC(=O)OC,1,0.349323172,0.114285714,-7.5
CC=CC(N)C(=O)Oc1n[nH]c(C)c1CCc1ccccc1,1,0.633319765,0.21875,-9
CN1C(=O)NCC(C)Oc2cccc(F)c2C=CC1,1,0.780632116,0.140625,-7.5
CN1C(=O)NCC(C)=C1Oc1cccc(F)c1CCO,1,0.880820946,0.153846154,-7.8
CN1CNCC(=O)C1=C(F)COc1ccccc1C=O,1,0.660450187,0.184615385,-8.9
CN1CNCC(=O)C1=C(F)COc1ccccc1CO,1,0.798909541,0.169230769,-8.7
CC=CCN1C(=O)COCC1Sc1ccccc1F,1,0.794720121,0.151515152,-8.2
CN1CNCC(=O)C1=CCOc1ccccc1F,1,0.817099398,0.177419355,-8.4
CC=CC(N)C(=O)ON1CCCc2c1cccc2F,1,0.847639713,0.115942029,-8.7
CC=CC(=O)N1CCNCC1c1c(C)cccc1F,1,0.828572123,0.153846154,-7.4
CC=CC(=O)N1CCCc2c1cc(=O)oc2N,1,0.737434049,0.109375,-9.1
CC=CC(=O)N1CCCc2c1cc[nH]c2=O,1,0.720681663,0.169491525,-8.5
CC=CC(=O)N1CCCc2c1ccc(=O)o2,1,0.672327609,0.131147541,-8.1
CCOP(=O)(OCC)C(F)=Cc1ccc(F)cc1,2,0.72403589,1,-7.4
CCOP(=O)(OCC)C(F)=Cc1cc(N)ccn1,2,0.806110125,0.522727273,-7.1
CCOP(=O)(OCC)C(F)=Cc1cccc(N)c1,2,0.632157693,0.609756098,-7.4
CCNP(=O)(F)OC(C)=Cc1cccc(F)c1,2,0.645107256,0.326923077,-8.2
CCNP(=O)(F)OC=C(C)c1cccc(F)c1,2,0.645107256,0.277777778,-7.8
CCNP(=O)(F)OC=C(C)c1ccc(F)cc1,2,0.645107256,0.354166667,-7.7
CCP(=O)(CC=C(F)c1cccc(N)c1)OCC,2,0.629990164,0.320754717,-7.6
CCP(=O)(NC=CC#N)c1cc(F)cc(OC)c1,2,0.657550251,0.224137931,-7.1
CCOP(=O)(NC=CC#N)c1cc(F)cc(OC)c1,2,0.640845645,0.280701754,-6.9
CCOP(=O)(NC=CC#N)c1cc(F)c(OC)cc1,2,0.640845645,0.275862069,-7.1
CCNP(=O)(CC)n1c(C)cc2cc(F)ccc21,2,0.856560154,0.240740741,-7.2
CCOCP(=O)(Cl)N(C)c1cc(F)cc(OC)c1,2,0.750244474,0.236363636,-7.1
CCNP(=O)(OCC)N1c2ccc(F)cc2CCC1C,2,0.841510793,0.293103448,-8.6
CCOCP(=O)(Cl)N(C)c1ccc(CCCC#N)cc1,2,0.527072454,0.183333333,-8.2
CCOC(=O)C=C(N)n1cc(F)c2ccccc21,2,0.668124865,0.228070175,-8
CCOC(=O)C=C(N)n1cc(CCCC)ccc1=O,2,0.624029681,0.183333333,-7.8
CCCNC(=O)P(=O)(CC)CCCC(C)c1ccccc1,2,0.647034946,0.166666667,-8.6
CCCNC(=O)C(=O)Nc1ccc(CCCC(C)C)cc1,2,0.757968009,0.13559322,-8.7
CCCCCC(=Cc1ccccc1)C1OCC(C)O1,3,0.705220383,1,-7.9
CCCCCC(=Cc1ccccc1)C1OCC(C)CO1,3,0.702398358,0.76744186,-8.1
CCCCCC(=Cc1ccccc1)C1OCCCO1,3,0.705148498,0.666666667,-8.5
CCCCCC(c1ccccc1)C1OCC(C)CO1,3,0.709147819,0.351851852,-7.7
CC(=CC(C)c1ccccc1)C1OCCCO1,3,0.742535501,0.245614035,-8.5
CC(C)C(=Cc1ccccc1)C1OCCCO1,3,0.793891041,0.346153846,-8.3
CC(O)C(=Cc1ccccc1)C1OCCCO1,3,0.871130544,0.339622642,-8.9
CC(O)C(=Cc1ccccc1)C1OCCCCO1,3,0.893270056,0.339622642,-8.6
CC(O)C(=Cc1ccccc1)C1OCC(C)CO1,3,0.892693379,0.42,-8.5
CC(O)C(=Cc1ccccc1)C1OCCC(C)O1,3,0.893265233,0.407407407,-8.5
CC(=Cc1ccccc1)C(O)C1OCC(C)CO1,3,0.892693379,0.358490566,-8.4
CC(O)C(=Cc1ccccc1)C1OCCC(C)CO1,3,0.910022972,0.381818182,-8.4
CC(=Cc1ccccc1)C(O)C1OCCC(C)CO1,3,0.910022972,0.327586207,-8.9
CC(O)C(=Cc1ccccc1)C1OCCCC1CO,3,0.87461297,0.295081967,-8.3
CC(=Cc1ccccc1)C(O)C1OCCCC1C(C)C,3,0.901938808,0.278688525,-8.2
CC(=Cc1ccccc1)C(O)C1OCCCC1CC(C)C,3,0.87540664,0.285714286,-9.3
CC(=Cc1ccccc1)C(O)C1OCC2CCCCC21C,3,0.908174425,0.285714286,-10.2
CC(=Cc1ccccc1)C1OCC(C)CC1C1CCCC1O,3,0.901945339,0.306451613,-9.9
CC(=Cc1ccccc1)C1OCC(O)CC12CCCC(C)CO2,3,0.901370199,0.292307692,-8.9
CN1C(=O)C(=C2SC(=O)N(CN3CCOCC3)C2=O)c2ccccc21,4,0.742881052,1,-6.6
CN1C(=O)C(=C2SC(=O)N(CN3CCOCC3)N2)c2ccccc21,4,0.814496668,0.642857143,-8
CN1C=C(C(=O)C2=C([N-])SC(CN3CCOCC3)C2)c2ccccc21,4,0.790201802,0.25974026,-9
CN1C=C(C(=O)SC2=NC(=O)N(CN3CCOCC3)C2)c2ccccc21,4,0.826123886,0.289473684,-9.6
CN1C=C(C(=O)c2sc(=O)n(CN3CCOCC3)c2)Sc2ccccc21,4,0.749108976,0.366197183,-9.2
CN1C=C(C(=O)C2=NC(=O)N(CN3CCOCC3)C2)Sc2ccccc21,4,0.803126839,0.361111111,-9.4
CN1C=C(C(=O)c2sc(=O)n(CNCC3CC3)c2)SC2CCCC12,4,0.785196825,0.117647059,-8.1
CN1C=C(C(=O)c2nc(=S)n(CN3CCOCC3)s2)Nc2ccccc21,4,0.63683337,0.315789474,-8.8
CN1C=C(C(=O)c2nc(=S)n(CNC(C)C)s2)Cc2ccccc21,4,0.654221058,0.168674699,-8.5
CN1C=C(Cc2nc(=O)sc(NCN(C)C)n2)SC2CC=CC=C12,4,0.804009047,0.113636364,-8.9
CC(C=C1SC(=O)c2sc(NCN(C)C)nc2CS1)C1CCCC1,4,0.732563668,0.091954023,-9.2
CN1C=CC2=C(C(=O)Sc3nc(CNCC(C)C)ncc32)C1,4,0.937036877,0.117647059,-8.5
CC(=O)C1=CC(=C2NC(C(C)(C)C)=NC2NCc2ccsc2)S1,4,0.872961464,0.119047619,-7.8
CC(=O)N1C=CC(=C2NC(=O)SC(NCC(C)C)=N2)C=C1,4,0.819564688,0.126582278,-9
CC(=O)N=C1C=C(Cc2nc(C(C)(C)C)ncn2)SC=C1,4,0.853127172,0.098765432,-8.8
CC(=O)N=C1N=C(CC(C)(C)C)c2sc(CSCO)nc21,4,0.863811706,0.060240964,-6.5
CC(=O)N=C1C=CC(C)=C2SC(NCC(C)(C)C)N=C12,4,0.795887597,0.1,-8.4
CC(=O)NCc1cc2c(=O)[nH]c(C(C)(C)CC)nc2cn1,4,0.894949487,0.097560976,-9
CC(=O)N=c1ccc2c(=O)[nH]c(CSC(C)(C)C)nc2s1,4,0.920966612,0.098765432,-8.5
CC(=O)NCc1ccc2c(=O)[nH]c(C(C)(C)CF)nc2c1,4,0.901761275,0.097560976,-9.5
CC(=O)CCc1cc2c(=O)[nH]c(C(C)(C)CF)nc2s1,4,0.922467121,0.1125,-8
CC(=O)CCc1cc2c(=O)[nH]c(C(C)(C)C)nc2cn1,4,0.92917282,0.076923077,-8.4
CC(=O)CCc1nc2c(=O)[nH]c(C(C)(C)C)nc2s1,4,0.934143639,0.077922078,-7.8
CC(=O)CCc1cc2c(=O)[nH]c(C(C)(C)C)nc2s1,4,0.938659672,0.103896104,-8
CC(=O)CCc1nc(C(C)(C)C)sc1Nc1ccno1,4,0.9101106,0.098765432,-7
CCOP(=O)(OCC)C(F)=Cc1ccccc1,5,0.716429252,1,-7.4
CCOP(=O)(OCC)C(F)=Cc1ccc2ccccc2c1,5,0.672577865,0.692307692,-9
CCOP(=O)(OCF)C(F)=Cc1ccc2ccccc2c1,5,0.68063516,0.627906977,-9.3
CCOP(=O)(OCC)c1c(F)ccc2ccccc12,5,0.780842822,0.347826087,-8.3
CCOP(=O)(OCC)C(F)=Cc1ccc2ccccn12,5,0.738304121,0.568181818,-8
CCOC(=O)C(F)=Cc1ccc2ncccc2c1,5,0.615755489,0.290909091,-9
CCOC(=CCn1ccc2ccccc21)C(=O)OF,5,0.614731707,0.245614035,-8.5
CCOC(=CCn1cnc2ccccc21)C(=O)CF,5,0.593160726,0.237288136,-7.8
CCOC(=CCn1cnc2ccccc21)C(=O)CBr,5,0.466362782,0.216666667,-7.7
CCOC1c2c(Br)cccc2C=CN1CS(=O)(=O)F,5,0.783529557,0.183333333,-7.5
CCOC1c2c(Br)cccc2C=CN1CS(=O)(=O)O,5,0.847634071,0.183333333,-7.3
CCOC1c2cccc(Br)c2C=C1CS(=O)(=O)O,5,0.860884857,0.192982456,-7.2
CCOC(=CCn1cnc2ccccc21)S(=O)=O,5,0.658243884,0.232142857,-8.1
CCOC(=O)C(=CCc1c[nH]c2ccccc12)SC,5,0.670313518,0.220338983,-8
CCOC(=O)C(=CCc1scc2ccccc12)NC,5,0.672837297,0.224137931,-8
CCOC(=O)C(=CCc1scc2ccccc12)NCC,5,0.653153903,0.220338983,-8.2
CCOC(=CC1CCCc2ccccc21)S(=O)(=O)NC,5,0.849320834,0.213114754,-8.3
CCOC(=CC1C=Cc2ccsc2N1CC)NC(=O)OC,5,0.848732945,0.164179104,-6.9
CCOC(=CC(C)(C)S(=O)NC1CCCc2ccsc21)OC,5,0.768345319,0.157142857,-7.8
CCOC1c2ccsc2C=CC1(C)C(=O)NCCCCC,5,0.767968849,0.166666667,-7.3
CCOC1c2ccsc2C=CC1(C)C(=O)NCCCC,5,0.810711347,0.169230769,-7.5
CCOC(=CC(=O)N1CCCC1CC)CCCc1ccsc1,5,0.524718845,0.157142857,-7.9
