SMILES,mol_id,qed,sim,gsk3,sa
Cc1c[nH]c(CN2CCc3c([nH]c4ccccc34)C2CC(C)C)n1,0,0.750193807,1,0.04,0.73109148
Cc1c[nH]c(CN2CCc3c([nH]c4ccccc34)C2CCO)n1,0,0.693822534,0.754385965,0.04,0.724648333
Cc1cn(CC(C)N2CCc3[nH]ccc3C2CC(C)C)cn1,0,0.916495072,0.297297297,0.22,0.659337835
Cc1cnc(N2CCc3[nH]ccc3C2CC(C)C)cn1,0,0.930714005,0.309859155,0.25,0.721411129
Cc1cc(N2CCc3[nH]ccc3C2CC(C)C)ccc1N,0,0.834507121,0.27027027,0.16,0.742941632
Cc1cc(N2CCc3[nH]ccc3C2CC(C)C)ncn1,0,0.930714005,0.301369863,0.26,0.723000333
Cc1cc(N2CCc3[nH]ccc3C2CNC(C)C)ncn1,0,0.904120684,0.225,0.26,0.711578573
Cc1cc(-n2c(CCN)nc3c2CC(C)(C)CC3)ccn1,0,0.942216313,0.142857143,0.12,0.78287819
Cc1cc(-n2c(CCN)nc3c2CCC(C)C3)ccn1,0,0.929925605,0.158536585,0.18,0.750731507
CC(C)(N)CNc1nc2[nH]ccc2cc1CC(C)C,0,0.774062637,0.155844156,0.27,0.786020466
Cc1nc(C2CCc3[nH]ccc3CN2)c(CC(C)C)[nH]1,0,0.80415747,0.217948718,0.08,0.669382519
Cc1nc(-c2ncc3[nH]ccc3n2)c(CC(C)C)[nH]1,0,0.755645067,0.2,0.26,0.774905958
Cc1nc(-c2ccc3c(c2)CNC3)c(CC(C)C)[nH]1,0,0.884010075,0.222222222,0.18,0.796392568
Cc1nc(-c2ccc3c(c2CCN)CC3)[nH]c1CC(C)C,0,0.885168801,0.220779221,0.18,0.787599181
Cc1nc(-c2ccc3[nH]ccc3c2CCN)cn1C(C)C,0,0.769952684,0.205128205,0.24,0.789759024
Cc1nc(-c2cnc3[nH]ccc3c2)c(CCN)n1C(C)C,0,0.773004602,0.158536585,0.5,0.788911827
Cc1nc(-c2ccc3[nH]ccc3c2)c(CCN)nc1CCC,0,0.757658488,0.135802469,0.3,0.810259065
Cc1nc(-c2cnc3[nH]ccc3c2)c(CCN)n1CC(C)C,0,0.760277803,0.168674699,0.5,0.790437383
Cc1nc(-c2cnc3[nH]ccc3c2CCN)ccc1OC(C)C,0,0.758310893,0.152941176,0.47,0.80171207
Cc1cc(-c2cnc3[nH]ccc3c2CCN)ccc1OC(C)C,0,0.752655689,0.139534884,0.5,0.826559644
Cc1cc(-c2cnc3[nH]ncc3c2CCN)ccc1OC(C)C,0,0.758310893,0.126436782,0.41,0.814619526
Cc1cc(-c2ccc3[nH]ncc3c2CCN)cnc1OC(C)C,0,0.758310893,0.139534884,0.48,0.807080354
Cc1cc(-c2ccnc3[nH]ccc23)cnc1CC(C)CCN,0,0.756922875,0.141176471,0.58,0.761387784
CC(C)(N)Cc1ccc(-c2ccnc3[nH]ccc23)cc1CN,0,0.691700595,0.107142857,0.65,0.812318276
CC(C)(N)Cc1ccc(-c2ccnc3[nH]ccc23)nc1CN,0,0.688480191,0.119047619,0.61,0.786035646
CC(C)(N)Cc1ccc(-c2ccnc3[nH]ccc23)cc1C1CN1,0,0.64801723,0.126436782,0.6,0.74460142
CC(C)(CN)c1ccc(-c2ccnc3[nH]ccc23)cc1C1CC1,0,0.752901037,0.127906977,0.73,0.809410768
CC(C)(N)Cc1ccc(-c2ccnc3[nH]ccc23)cc1CCCN,0,0.650391618,0.102272727,0.66,0.810359804
CC(C)(CN)Cc1ccc(-c2ccnc3[nH]ccc23)cc1CCCN,0,0.615864128,0.101123596,0.67,0.804505033
CC(C)(CN)Cc1ccc(-c2ccnc3[nH]ccc23)cc1F,0,0.767149043,0.104651163,0.68,0.822742842
CC(C)(N)Cc1ccc(-c2ccnc3[nH]ccc23)cc1C(F)F,0,0.747211846,0.11627907,0.63,0.792779796
CC(C)(N)Cc1ccc(-c2ccnc3[nH]ccc23)cc1F,0,0.770586167,0.107142857,0.68,0.829325387
CC(C)Cc1cc(-c2ccnc3[nH]ccc23)cc(CC#N)c1,0,0.768744796,0.146341463,0.6,0.825309859
