SMILES,mol_id,sim,qed
CCN(C[CH]N1CCOC1)C(=O)c1ccnc(Cl)c1,1,0.55,0.770596096
CCN(C[C]1[CH][CH][CH][CH]1)C(=O)c1ccc(O)c(Cl)c1,1,0.322580645,0.918534853
CCN(C[C]1[CH][CH][CH][CH]1)C(=O)c1cc(Cl)c(O)cn1,1,0.272727273,0.918772393
CCN(C[C]1CCOC1)C(=O)c1ccnc(Cl)c1,1,0.589285714,0.78565201
CCN(C[C]1[CH]OCO1)C(=O)c1ccnc(Cl)c1,1,0.534482759,0.782835607
CCN(C[C]1[CH]NCO1)C(=O)c1cccc(Cl)c1,1,0.333333333,0.907193706
CCN(C[CH]C1COCO1)C(=O)c1ccnc(Cl)c1,1,0.576271186,0.773079623
CCN(C=C1COCO1)C(=O)c1ccc(Cl)c(O)c1,1,0.289855072,0.924998145
CCN(C(=O)CN1CCOC1)c1ccc(Cl)c(Cl)c1O,1,0.236111111,0.925456512
CCN(C(=O)C1CCCCO1)c1ccc(Cl)c(Cl)c1O,1,0.257142857,0.925850268
CCN(C[CH]C1CCOC1)C(=O)c1ccnc(Cl)c1,1,0.690909091,0.778717506
CCN(C[CH]C1CCOC1)C(=O)c1cccnc1Cl,1,0.453125,0.778717506
CCN(CC1CCC[NH+]1C)C(=O)c1ccnc(Cl)c1,1,0.596491228,0.832602662
CCN(CC1CCCN1C)C(=O)c1ccnc(Cl)c1,1,0.596491228,0.794771043
CCN(CC1CCCN1C)C(=O)c1ccc(Cl)c(O)c1,1,0.384615385,0.928661757
CCN(C[CH]1CCOC1)C(=O)c1ccnc(Cl)c1,1,1,0.786747251
CCN(C[CH]1CCNC1=O)C(=O)c1ccnc(Cl)c1,1,0.607142857,0.847223512
CCN(C[CH]1CCNC1=O)C(=O)c1cccc(Cl)c1,1,0.412698413,0.916249338
Cc1ccccc1C[S+](=O)CCCc1ccccc1,2,0.512195122,0.723810868
Cc1ccccc1C[S+](=O)(O)Cc1ccccc1,2,0.404761905,0.852629874
Cc1ccccc1C[S+](=O)(O)CCc1ccccc1,2,0.487804878,0.844590724
Cc1ccccc1C[S](=O)(O)c1ccc(C)cc1,2,0.304347826,0.915897038
Cc1ccccc1C[S](=O)(O)c1cccc(C)c1,2,0.285714286,0.915897038
Cc1ccccc1CS(=O)(=O)[C]c1cccc(O)c1,2,0.269230769,0.932275836
Cc1ccccc1CS(=O)(=O)[C](c1cccc(O)c1)CC,2,0.259259259,0.91779206
Cc1ccccc1CS(=O)(=O)c1ccc(O)c(OC)c1,2,0.259259259,0.940717422
Cc1ccccc1CS(=O)(=O)c1ccc(O)cc1,2,0.304347826,0.924853791
Cc1ccccc1CS(=O)(=O)c1cccc(O)c1,2,0.285714286,0.924853791
Cc1ccccc1C[S](=O)CCCc1ccccc1,2,1,0.779753359
Cc1ccccc1C[S](=O)(O)Cc1ccccc1,2,0.404761905,0.914895689
CSCC(=O)NNC(=O)c1c(O)cc(Cl)cc1Cl,3,1,0.744353219
CSCC(=O)NCC(O)c1c(Cl)cc(Cl)cc1O,3,0.531914894,0.779761832
CSCC(=O)NCc1c(O)cc(Cl)cc1Cl,3,0.568181818,0.891106975
CSCC(=O)NCc1c(O)ccc(Cl)c1Cl,3,0.408163265,0.891106975
CSCC(=O)NNC(=O)c1cc(Cl)ccc1Cl,3,0.568181818,0.83925774
CSCC(=O)NCC(=O)c1cc(Cl)ccc1Cl,3,0.428571429,0.848651818
CSCC(=O)NNC(=O)c1c(Cl)cc(Cl)cc1Cl,3,0.833333333,0.839370248
CSCC(=O)NNC(=O)c1c(Cl)cccc1Cl,3,0.609756098,0.83925774
CSCC(=O)Nc1c(Cl)cc(Cl)cc1Cl,3,0.536585366,0.910421348
c1ccc(-c2cc(N3C[S+]4CC[NH+]5CCOC(C5)N4C3)c3ccccc3[nH+]2)cc1,4,0.439393939,0.647426585
c1ccc(-c2cc(N3C[C]4[CH][CH][CH][CH]C(CCO4)O3)c3ccccc3[nH+]2)cc1,4,0.483333333,0.677898483
c1cc(C2CCN(C[C]3[CH][CH][CH][CH]3)CC(CO)O2)ccn1,4,0.138888889,0.912748237
Cc1nc(CN2CC3CCCC3C2)c(C2CCCCC2)[nH]1,4,0.085714286,0.911006
Cc1ccccc1C1CC(c2cc[nH]n2)N(C2CCC[NH2+]2)C1,4,0.12987013,0.909304292
Cc1ccccc1C1CC(c2ccn([CH]C3CCCN3)n2)C1,4,0.118421053,0.933203642
Cc1ccccc1C1CCN(c2ncc(C3CCCN3)[nH]2)C1,4,0.146666667,0.914311358
Cc1ccccc1C1CC(c2ncnn2C2CCCN2)CN1,4,0.12987013,0.91246673
c1ccc(-c2ccc(N3CC[NH+]4CCC(C[O-])[CH]C4C3)cc2)cc1,4,0.208955224,0.914693234
c1ccc(-c2cc(N3C=[NH+]CCN(C4CCCCO4)[CH]3)ccn2)cc1,4,0.197368421,0.925053856
c1ccc(N2C=C(C[NH+]3CCN(C4CCCCC4)[CH]3)C=C2)cc1,4,0.138888889,0.915782095
CCc1cccnc1C1CC2CCN1c1ccccc1[NH+]2C,4,0.131578947,0.918419856
CCc1cccnc1C1CC2CCN1c1cc(C[NH3+])ccc12,4,0.141025641,0.945727862
c1ccc(-c2cc(N3C[C]4[CH]C[CH+]C(OC[NH2+]4)N3)c3ccccc3[nH+]2)cc1,4,0.415384615,0.686914409
c1ccc(-n2cc[nH+]c2CC2CC3CCC(C2)N3)cc1,4,0.184615385,0.910071236
c1ccc(-c2cc(N3CC[CH]C[NH+]4[CH][CH][CH][CH]4C3)c3ccccc3[nH+]2)cc1,4,0.475409836,0.749784885
Cc1ccc(OC2CC3CCC[NH2+]C=C3CC(C#N)O2)cc1,4,0.102564103,0.911014446
Cc1ccc(OC2CCC[NH+]2CC2=C3CCCC3O2)cc1,4,0.092105263,0.916933903
Cc1ccc(OC2CC3CCCC(C2)[NH+]3CCC#N)cc1,4,0.097222222,0.921139861
CC(OC)c1ccc(OC2CC3CCCC(C3)[NH2+]2)c(C#N)c1,4,0.1,0.929271195
c1ccc(-c2cc(N3C[S+]4CC[CH+]C(OCC4)[N-]3)c3ccccc3[nH+]2)cc1,4,0.421875,0.50103542
Fc1ccccc1[N-]c1cc[nH]c1CN1CCN2CCOCC2C1,4,0.155844156,0.93778173
Fc1ccccc1OC1N=C2CCNCCN2Cc2ccoc21,4,0.153846154,0.925597868
Fc1ccccc1OC1N2CCNC(C2)N1Cc1ccoc1,4,0.141025641,0.933019698
c1ccc(-c2cc(N3C[N+]4=CN5CC[NH+](O5)C4[CH-]3)c3ccccc3[nH+]2)cc1,4,0.415384615,0.540391874
c1ccc(-c2cc(N3C[NH+]4CCNCCN4[CH-]3)c3ccccc3[nH+]2)cc1,4,0.442622951,0.677946641
c1ccc(C2(CN3CC[NH+]4CCCCC4C3)CCCCC2)cc1,4,0.157142857,0.90129484
c1ccc(N2CCN=C3[CH]C(N4CC[NH2+]C4)=C3c3ccccc32)cc1,4,0.135135135,0.914629413
Cc1cc(N2CCNCC2)c(-c2cc(C)n(C)c2)cc1,4,0.134328358,0.904358683
Cc1cc(N2CCNCC2)c(-c2cnc(C)cc2)cn1,4,0.136363636,0.906046044
Cc1cc(N2CCNCC2)c(-c2cnc(C)cc2)cc1,4,0.132352941,0.90660533
c1ccc(-c2cc(N3C[S+]4CC[CH+]C(O4)[NH+]3)c3ccccc3[nH+]2)cc1,4,0.442622951,0.566113122
